Kezdes;nev;adatDb
45720;Sanyi;1
45900;Csabi;2
46080;Zoli;1
46080;Józsi;4
46320;Imi;2
46380;Tomi;1
46560;Lali;2
46680;Bandi;2
46740;Laci;2
46860;Jani;4
46860;Gabi;1
46860;Lali;3
47040;Sanyi;2
47100;Feri;4
47100;Peti;1
47400;Gyuri;2
47460;Sanyi;3
47700;Tomi;1
47700;Feri;1
47820;Bandi;1
47940;Zoli;1
48000;Csabi;4
48060;Gyuszi;1
48120;Zoli;3
48180;Bandi;1
48180;Bandi;3
48240;Tibi;3
48240;Jani;2
48360;Gabi;3
48360;Gyuszi;4
48420;Zsombor;2
48420;Imi;3
48780;Gabi;4
48780;Feri;1
48780;Zsolti;3
48840;Pityu;2
48840;Lali;1
48900;Gabi;3
49020;Zsombor;1
49080;Bandi;3
49440;Jani;3
49620;Peti;2
50100;Tibi;2
50100;Csabi;3
50220;Gyuri;1
